   0 ( 0, 0) U+0020 ' '
   1 ( 1, 0) U+0021 '!'
   2 ( 2, 0) U+0022 '"'
   3 ( 3, 0) U+0023 '#'
   4 ( 4, 0) U+0024 '$'
   5 ( 5, 0) U+0025 '%'
   6 ( 6, 0) U+0026 '&'
   7 ( 7, 0) U+0027 '''
   8 ( 8, 0) U+0028 '('
   9 ( 9, 0) U+0029 ')'
  10 (10, 0) U+002A '*'
  11 (11, 0) U+002B '+'
  12 (12, 0) U+002C ','
  13 (13, 0) U+002D '-'
  14 (14, 0) U+002E '.'
  15 (15, 0) U+002F '/'
  16 (16, 0) U+0030 '0'
  17 (17, 0) U+0031 '1'
  18 (18, 0) U+0032 '2'
  19 (19, 0) U+0033 '3'
  20 (20, 0) U+0034 '4'
  21 (21, 0) U+0035 '5'
  22 (22, 0) U+0036 '6'
  23 (23, 0) U+0037 '7'
  24 (24, 0) U+0038 '8'
  25 (25, 0) U+0039 '9'
  26 (26, 0) U+003A ':'
  27 (27, 0) U+003B ';'
  28 (28, 0) U+003C '<'
  29 (29, 0) U+003D '='
  30 (30, 0) U+003E '>'
  31 (31, 0) U+003F '?'
  32 ( 0, 1) U+0040 '@'
  33 ( 1, 1) U+0041 'A'
  34 ( 2, 1) U+0042 'B'
  35 ( 3, 1) U+0043 'C'
  36 ( 4, 1) U+0044 'D'
  37 ( 5, 1) U+0045 'E'
  38 ( 6, 1) U+0046 'F'
  39 ( 7, 1) U+0047 'G'
  40 ( 8, 1) U+0048 'H'
  41 ( 9, 1) U+0049 'I'
  42 (10, 1) U+004A 'J'
  43 (11, 1) U+004B 'K'
  44 (12, 1) U+004C 'L'
  45 (13, 1) U+004D 'M'
  46 (14, 1) U+004E 'N'
  47 (15, 1) U+004F 'O'
  48 (16, 1) U+0050 'P'
  49 (17, 1) U+0051 'Q'
  50 (18, 1) U+0052 'R'
  51 (19, 1) U+0053 'S'
  52 (20, 1) U+0054 'T'
  53 (21, 1) U+0055 'U'
  54 (22, 1) U+0056 'V'
  55 (23, 1) U+0057 'W'
  56 (24, 1) U+0058 'X'
  57 (25, 1) U+0059 'Y'
  58 (26, 1) U+005A 'Z'
  59 (27, 1) U+005B '['
  60 (28, 1) U+005C '\'
  61 (29, 1) U+005D ']'
  62 (30, 1) U+005E '^'
  63 (31, 1) U+005F '_'
  64 ( 0, 2) U+0060 '`'
  65 ( 1, 2) U+0061 'a'
  66 ( 2, 2) U+0062 'b'
  67 ( 3, 2) U+0063 'c'
  68 ( 4, 2) U+0064 'd'
  69 ( 5, 2) U+0065 'e'
  70 ( 6, 2) U+0066 'f'
  71 ( 7, 2) U+0067 'g'
  72 ( 8, 2) U+0068 'h'
  73 ( 9, 2) U+0069 'i'
  74 (10, 2) U+006A 'j'
  75 (11, 2) U+006B 'k'
  76 (12, 2) U+006C 'l'
  77 (13, 2) U+006D 'm'
  78 (14, 2) U+006E 'n'
  79 (15, 2) U+006F 'o'
  80 (16, 2) U+0070 'p'
  81 (17, 2) U+0071 'q'
  82 (18, 2) U+0072 'r'
  83 (19, 2) U+0073 's'
  84 (20, 2) U+0074 't'
  85 (21, 2) U+0075 'u'
  86 (22, 2) U+0076 'v'
  87 (23, 2) U+0077 'w'
  88 (24, 2) U+0078 'x'
  89 (25, 2) U+0079 'y'
  90 (26, 2) U+007A 'z'
  91 (27, 2) U+007B '{'
  92 (28, 2) U+007C '|'
  93 (29, 2) U+007D '}'
  94 (30, 2) U+007E '~'
  95 (31, 2) U+00A0 ' '
  96 ( 0, 3) U+00A1 '¡'
  97 ( 1, 3) U+00A2 '¢'
  98 ( 2, 3) U+00A3 '£'
  99 ( 3, 3) U+00A4 '¤'
 100 ( 4, 3) U+00A5 '¥'
 101 ( 5, 3) U+00A6 '¦'
